DATE,EX-IMP
2015-06-01,66.3995000775975
2015-07-01,66.2044270733973
2015-08-01,64.4131892623906
2015-09-01,67.6263654086956
2015-10-01,71.8343644490582
2015-11-01,69.5138759517955
2015-12-01,66.5547402549603
2016-01-01,73.3148954162056
2016-02-01,70.2857192677483
2016-03-01,75.2328892821971
2016-04-01,81.6751132322561
2016-05-01,81.6017044172820
2016-06-01,73.0823675784716
2016-07-01,76.2490115948837
2016-08-01,75.0750339937779
2016-09-01,70.8319819290068
2016-10-01,70.5951207311678
2016-11-01,63.8556246930940
2016-12-01,69.6973178079309
2017-01-01,69.4609538113245
2017-02-01,67.8474589926122
2017-03-01,64.7863388283193
2017-04-01,63.4640701936340
2017-05-01,64.4819977809615
2017-06-01,61.9319422292543
2017-07-01,67.0938979617783
2017-08-01,65.9977716879258
